operation,datastructure,listSize,seed,iteration,runcount,totaltime,avgtime
EN,array,10,123,73,5,0.5269018,0.10538035999999999
EN,array,10,123,74,5,0.5225682,0.10451364
EN,array,10,123,75,5,0.5253282,0.10506564
EN,array,10,123,76,5,0.5234037,0.10468074000000001
EN,array,10,123,77,5,0.5235172,0.10470344000000001
EN,array,10,123,78,5,0.5373783,0.10747566
EN,array,10,123,79,5,0.5235889,0.10471778000000001
EN,array,10,123,80,5,0.5229375,0.10458750000000001
EN,array,10,123,81,5,0.5308402,0.10616803999999999
EN,array,10,123,82,5,0.5228562,0.10457124
EN,array,10,123,83,5,0.5312384,0.10624768
EN,array,10,123,84,5,0.5350636,0.10701271999999999
EN,array,10,123,85,5,0.5418575,0.1083715
EN,array,10,123,86,5,0.518502,0.1037004
EN,array,10,123,87,5,0.523969,0.1047938
EN,array,10,123,88,5,0.5245716,0.10491432
EN,array,10,123,89,5,0.529291,0.10585819999999999
EN,array,10,123,90,5,0.5305196,0.10610391999999999
EN,array,10,123,91,5,0.5280653,0.10561306
EN,array,10,123,92,5,0.5349591,0.10699182
EN,array,10,123,93,5,0.5382799,0.10765598000000001
EN,array,10,123,94,5,0.5317518999999999,0.10635038
EN,array,10,123,95,5,0.5281399,0.10562798
EN,array,10,123,96,5,0.5432216,0.10864431999999999
EN,array,10,123,97,5,0.5409233999999999,0.10818467999999999
EN,array,10,123,98,5,0.5252122,0.10504244
EN,array,10,123,99,5,0.5286392,0.10572783999999999
EN,array,10,123,100,5,0.5391796,0.10783592
EN,array,10,123,101,5,0.5374579,0.10749158
EN,array,10,123,102,5,0.5167724,0.10335448
EN,array,10,123,103,5,0.5381481,0.10762962000000001
EN,array,10,123,104,5,0.5355754,0.10711508
EN,array,10,123,105,5,0.5324105,0.1064821
EN,array,10,123,106,5,0.5308851,0.10617702
EN,array,10,123,107,5,0.5343637999999999,0.10687275999999998
EN,array,10,123,108,5,0.5240658,0.10481316
EN,array,10,123,109,5,0.5377019,0.10754037999999999
EN,array,10,123,110,5,0.540394,0.1080788
EN,array,10,123,111,5,0.5265035,0.1053007
EN,array,10,123,112,5,0.5409903,0.10819806000000001
EN,array,10,123,113,5,0.5282515,0.1056503
EN,array,10,123,114,5,0.5229728,0.10459456
EN,array,10,123,115,5,0.51644,0.103288
EN,array,10,123,116,5,0.5247603999999999,0.10495207999999998
EN,array,10,123,117,5,0.5370181,0.10740362
EN,array,10,123,118,5,0.5400514000000001,0.10801028000000001
EN,array,10,123,119,5,0.5347171,0.10694341999999998
EN,array,10,123,120,5,0.5475466,0.10950932
EN,array,10,123,121,5,0.5327985,0.1065597
EN,array,10,123,122,5,0.5372597,0.10745194
EN,array,10,123,123,5,0.53509,0.10701799999999999
EN,array,10,123,124,5,0.5298941,0.10597882
EN,array,10,123,125,5,0.5245784,0.10491568
EN,array,10,123,126,5,0.5363713,0.10727426
EN,array,10,123,127,5,0.5387066,0.10774132
EN,array,10,123,128,5,0.5359160000000001,0.1071832
EN,array,10,123,129,5,0.5434572,0.10869144
EN,array,10,123,130,5,0.5291281999999999,0.10582563999999998
EN,array,10,123,131,5,0.5420072,0.10840144
EN,array,10,123,132,5,0.532935,0.10658700000000002
EN,array,10,123,133,5,0.5516789,0.11033578
EN,array,10,123,134,5,0.5291623000000001,0.10583246000000002
EN,array,10,123,135,5,0.5358072,0.10716144000000001
EN,array,10,123,136,5,0.5383964,0.10767928
EN,array,10,123,137,5,0.5411604999999999,0.10823209999999998
EN,array,10,123,138,5,0.5397927,0.10795854
EN,array,10,123,139,5,0.5406381,0.10812762000000001
EN,array,10,123,140,5,0.5324894,0.10649788
EN,array,10,123,141,5,0.5353208,0.10706416
EN,array,10,123,142,5,0.5418241,0.10836482
EN,array,10,123,143,5,0.5374500999999999,0.10749001999999999
EN,array,10,123,144,5,0.5273988000000001,0.10547976
EN,array,10,123,145,5,0.5302158,0.10604316
EN,array,10,123,146,5,0.5280054999999999,0.10560109999999998
